,instrument,date,52_week_total_return,price_open,price_close,pe,price_avg,log_returns,decile
1307,AAPL.O,2019-08-29T00:00:00Z,-5.66902407310422,52.125,52.2525,18.156026644,52.18875,0.019054182869151663,10
1306,AAPL.O,2019-08-30T00:00:00Z,-6.86694197713788,52.54,52.185,18.132572612,52.3625,0.003323731853117463,6
1305,AAPL.O,2019-09-03T00:00:00Z,-8.51667520554724,51.6075,51.425,17.868497587,51.51625,-0.0162933943932575,2
1304,AAPL.O,2019-09-04T00:00:00Z,-6.35350410872668,52.0975,52.2975,18.171662665,52.1975,0.013137309141497817,9
1303,AAPL.O,2019-09-05T00:00:00Z,-2.90916317413705,53.0,53.32,18.526947814,53.16,0.018271632823650973,10
1302,AAPL.O,2019-09-06T00:00:00Z,-2.12862868270548,53.5125,53.315,18.525210478,53.41375,0.004761969612784313,7
1301,AAPL.O,2019-09-09T00:00:00Z,-0.373951658206484,53.71,53.5425,18.604259252,53.62625,0.0039704835419877346,6
1300,AAPL.O,2019-09-10T00:00:00Z,-1.682801488387,53.465,54.175,18.824032217,53.82,0.003606458298943193,6
1299,AAPL.O,2019-09-11T00:00:00Z,2.71887333090075,54.5175,55.8975,19.422544363,55.207499999999996,0.0254536683200738,10
1298,AAPL.O,2019-09-12T00:00:00Z,0.069665375916261,56.2,55.77125,19.378676637,55.985625,0.01399614773557685,9
1297,AAPL.O,2019-09-13T00:00:00Z,-0.748278776288058,55.0,54.6875,19.002109126,54.84375,-0.020606728254170703,1
1296,AAPL.O,2019-09-16T00:00:00Z,2.5027566583669,54.4325,54.975,19.102005928,54.70375,-0.0025559702634590253,4
1295,AAPL.O,2019-09-17T00:00:00Z,2.7059638670438,54.99,55.175,19.171499355,55.082499999999996,0.006899798519426229,7
1294,AAPL.O,2019-09-18T00:00:00Z,3.60755218201954,55.265,55.6925,19.3513136,55.478750000000005,0.007168003194932862,7
1293,AAPL.O,2019-09-19T00:00:00Z,1.99043520361597,55.5025,55.24,19.194084719,55.37125,-0.0019395585692420659,4
1292,AAPL.O,2019-09-20T00:00:00Z,1.59382931375989,55.345,54.4325,18.913505005,54.88875,-0.008752096497768138,3
1291,AAPL.O,2019-09-23T00:00:00Z,0.608987924613058,54.7375,54.68,18.999503122,54.708749999999995,-0.0032847494120515058,4
1290,AAPL.O,2019-09-24T00:00:00Z,-0.500315810146712,55.2575,54.42,18.909161666,54.838750000000005,0.0023734007809308594,6
1289,AAPL.O,2019-09-25T00:00:00Z,1.84223182779517,54.6375,55.2575,19.200165394,54.947500000000005,0.0019811230562831465,6
